IMDB Keyword Query	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	10	21	22	23	24	
action hero	0	1.0	1.0	1.0	0.829652943254	1.0	0.778677489058	1.0	0.909975858766	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
alternate history	0	1.0	0.591375279772	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
ambiguous ending	0.608640961762	1.0	1.0	0.834403052484	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
americana	0.496466370803	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
anime	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
anti hero	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
avant-garde	1.0	0.588381664991	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.964970395148	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.964970395148	1.0	1.0	1.0	1.0	
b movie	1.0	1.0	0.753652616268	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
bank heist	0	0.588359088516	1.0	1.0	1.0	1.0	0.91547476637	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
based on book	0	0.405560643068	1.0	0.6466017721	1.0	0.746015688032	1.0	1.0	1.0	1.0	0.941986273654	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
based on play	0	0.590010349314	1.0	1.0	1.0	1.0	1.0	0.889967807511	1.0	1.0	0.929530333313	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
